,Defects,Second
0,161,0
1,337,1
2,303,2
3,272,3
4,244,4
5,256,5
6,238,6
7,212,7
8,170,8
9,169,9
10,163,10
11,155,11
12,152,12
13,149,13
14,143,14
15,138,15
16,132,16
17,129,17
18,128,18
19,120,19
20,125,20
21,119,21
22,118,22
23,114,23
24,114,24
25,106,25
26,110,26
27,109,27
28,100,28
29,102,29
